tconst,original_title,season_number,episode_number,average_rating
tt2832378,"The Lion and the Rose",4,2,10
tt2084342,Blackwater,2,9,10
tt3060858,"The Watchers on the Wall",4,9,10
tt1851398,Baelor,1,9,10
tt4283094,"The Winds of Winter",6,10,10
tt3866826,"The Dance of Dragons",5,9,10
tt2178798,"And Now His Watch Is Ended",3,4,10
tt2178784,"The Rains of Castamere",3,9,10
tt3060860,"The Children",4,10,10
tt1851397,"Fire and Blood",1,10,10
tt4283088,"Battle of the Bastards",6,9,10
tt3060910,"The Laws of Gods and Men",4,6,10
tt3866850,Hardhome,5,8,10
tt4283028,"The Door",6,5,10
tt5775846,"The Spoils of War",7,4,10
tt3060782,"The Mountain and the Viper",4,8,10
tt5775864,"Beyond the Wall",7,6,9
tt4283016,"Book of the Stranger",6,4,9
tt1829964,"The Wolf and the Lion",1,5,9
tt3060856,"First of His Name",4,5,9
tt3866836,"High Sparrow",5,3,9
tt5775874,"The Dragon and the Wolf",7,7,9
tt3658012,"The Wars to Come",5,1,9
tt3846626,"The House of Black and White",5,2,9
tt2972428,Oathkeeper,4,4,9
tt3866840,"Kill the Boy",5,5,9
tt1837862,"A Golden Crown",1,6,9
tt2972426,"Breaker of Chains",4,3,9
tt1971833,"The North Remembers",2,1,9
tt1837863,"You Win or You Die",1,7,9
tt2178772,"Dark Wings, Dark Words",3,2,9
tt3866862,"Mother's Mercy",5,10,9
tt2178788,"Kissed by Fire",3,5,9
tt4077554,Home,6,2,9
tt1668746,"The Kingsroad",1,2,9
tt5775854,Eastwatch,7,5,9
tt4283060,"The Broken Man",6,7,9
tt3060876,Mockingbird,4,7,9
tt2178796,Mhysa,3,10,9
tt2178782,"Valar Dohaeris",3,1,9
tt4131606,Oathbreaker,6,3,9
tt5654088,Dragonstone,7,1,9
tt3866846,"The Gift",5,7,9
tt2069318,"The Night Lands",2,2,9
tt2178802,"Walk of Punishment",3,3,9
tt3866838,"Sons of the Harpy",5,4,9
tt2178806,"Second Sons",3,8,9
tt5775840,"The Queen's Justice",7,3,9
tt2816136,"Two Swords",4,1,9
tt2085240,"The Prince of Winterfell",2,8,9
tt1829963,"Cripples, Bastards, and Broken Things",1,4,9
tt2074658,"The Ghost of Harrenhal",2,5,9
tt1829962,"Lord Snow",1,3,9
tt2085239,"A Man Without Honor",2,7,9
tt1480055,"Winter Is Coming",1,1,9
tt2069319,"Garden of Bones",2,4,9
tt2085238,"The Old Gods and the New",2,6,9
tt1837864,"The Pointy End",1,8,9
tt2070135,"What Is Dead May Never Die",2,3,9
tt2112510,"Valar Morghulis",2,10,9
tt3658014,"The Red Woman",6,1,9
tt5655178,Stormborn,7,2,9
tt2178812,"The Climb",3,6,9
tt2178814,"The Bear and the Maiden Fair",3,7,9
tt6027908,"A Knight of the Seven Kingdoms",8,2,8
tt3866842,"Unbowed, Unbent, Unbroken",5,6,8
tt4283074,"No One",6,8,8
tt4283054,"Blood of My Blood",6,6,8
tt5924366,Winterfell,8,1,8
tt6027912,"The Long Night",8,3,7
tt6027916,"The Bells",8,5,6
tt6027914,"The Last of the Starks",8,4,5
tt6027920,"The Iron Throne",8,6,4
