primary_name,category,primary_profession
"Elaine Stritch",actress,"actress,music_department,soundtrack"
Sridevi,actress,"actress,music_department,producer"
"Marie Laforêt",actress,"actress,soundtrack,music_department"
"Sumitra Mukherjee",actress,"actress,music_department"
"Aachi Manorama",actress,"actress,music_department"
"Anita Mui",actress,"actress,music_department,soundtrack"
"Sanghamitra Bandyopadhyay",actress,"actress,music_department"
"Bharati Devi",actress,"actress,music_department"
Kalpana,actress,"actress,make_up_department,music_department"
"Renata Tebaldi",actress,"soundtrack,actress,music_department"
"Ja'net DuBois",actress,"actress,music_department,soundtrack"
"Farah Maria",actress,"actress,music_department"
"Lydia Shum",actress,"actress,music_department,director"
"Paravai Muniyamma",actress,"actress,music_department,soundtrack"
"Rajni Bala",actress,"actress,music_department"
"Aysel Gürel",actress,"actress,composer,music_department"
"Fenella Fielding",actress,"actress,writer,music_department"
"Jiah Khan",actress,"actress,music_department"
"India Adams",actress,"actress,soundtrack,music_department"
"Jadranka Stojakovic",actress,"composer,actress,music_department"
"Carol Sutton",actress,"actress,music_department,miscellaneous"
"Jing Bai",actress,"actress,music_department"
"Veta Betini",actress,"actress,music_department,soundtrack"
"Micheline Dax",actress,"actress,music_department,soundtrack"
"Bonnie Pointer",actress,"soundtrack,actress,music_department"
"Eleanor Drew",actress,"actress,music_department"
Nimmi,actress,"actress,music_department"
"Jaya B.",actress,"music_department,actress,director"
"Christina Grimmie",actress,"music_department,writer,director"
"Li Hua Li",actress,"actress,music_department,producer"
"Else Blangsted",actress,music_department
"Chloe Deloach Davis",actress,"music_department,actress,writer"
"Vera Spinarová",actress,"soundtrack,actress,music_department"
"J. Karen Thomas",actress,"actress,music_department,miscellaneous"
"Donna Carroll",actress,"actress,music_department"
"Hilde Heltberg",actress,music_department
Maurane,actress,"soundtrack,actress,music_department"
"Evangelina Elizondo",actress,"actress,soundtrack,music_department"
